reporting_airline,airport,n,x,y
Delta Air Lines,ORD,15570,995411.7016669,-262546.73068444384
Delta Air Lines,ORF,6036,2086513.5755781755,-600723.1638676772
Delta Air Lines,PBI,12700,1982322.2831828392,-1802085.774986376
Delta Air Lines,PDX,14546,-1729571.0771865274,310444.7043324455
Delta Air Lines,PHF,708,2054974.7967551427,-582339.5117071073
Delta Air Lines,PHL,13719,2075929.4181951769,-255080.32292677445
Delta Air Lines,PHX,14770,-1115699.3885834513,-1205089.0053395256
Delta Air Lines,PIT,7816,1653058.7188770992,-301571.10045485134
Delta Air Lines,PNS,5012,1232374.963107157,-1519383.0474165194
Delta Air Lines,PSC,508,-1452424.2500285408,314551.0124902064
Delta Air Lines,PSP,266,-1520118.9583575455,-1091859.511799427
Delta Air Lines,PVD,3390,2312630.224903233,45984.38112504096
Delta Air Lines,PWM,1566,2323046.368311461,282201.85932739975
Delta Air Lines,RAP,392,-244254.86787282676,-101558.09433123024
Delta Air Lines,RDU,12342,1892329.2704660424,-772779.4700067013
Delta Air Lines,RIC,5932,1974576.5147112373,-562009.3202353421
Delta Air Lines,RNO,1736,-1678096.5663649472,-409666.019399356
Delta Air Lines,ROA,832,1753714.8239882167,-641182.8013547789
Delta Air Lines,ROC,2808,1784302.386940441,37810.92949343497
Delta Air Lines,RSW,11425,1822839.8385921961,-1854169.26849232
Delta Air Lines,SAN,14085,-1603701.5452417962,-1199220.2306533586
Delta Air Lines,SAT,7575,149495.41162521293,-1713236.8214802423
Delta Air Lines,SAV,6886,1763892.708823169,-1233594.0048643088
Delta Air Lines,SBN,75,1129761.4317361645,-271516.7521662423
Delta Air Lines,SDF,5557,1241535.522119959,-652005.0450171886
Delta Air Lines,SEA,36547,-1650755.3926562539,505066.6320739882
Delta Air Lines,SFO,23790,-1945640.7538789264,-556902.5127197708
Delta Air Lines,SGF,491,585825.6252497791,-838475.0991829366
Delta Air Lines,SHV,144,582239.433615858,-1372127.7848003015
Delta Air Lines,SJC,8100,-1914820.4720456952,-595055.2286396603
Delta Air Lines,SLC,86867,-1004609.4621734885,-395049.06406783813
Delta Air Lines,SMF,5365,-1850472.0747063856,-458086.04301328777
Delta Air Lines,SNA,7681,-1646508.559850192,-1083248.598617272
Delta Air Lines,SRQ,4508,1728853.7880800036,-1776894.0369085146
Delta Air Lines,STL,9943,834066.6669227502,-646449.0468188728
Delta Air Lines,SYR,2936,1905272.1686460353,72673.25213846966
Delta Air Lines,TLH,3152,1503095.9869380468,-1482768.4625080186
Delta Air Lines,TPA,22746,1720329.790563932,-1713285.848456208
Delta Air Lines,TRI,759,1563180.7093760164,-782403.2612840846
Delta Air Lines,TUL,1880,369902.00173730054,-968710.335093024
