airline,airport,Arrival,Departure,yearly_passengers,hub_type
Delta,DTW,2.5649015475915715,2.987739609979144,15360788,Large
Delta,ECP,2.920363530990112,3.167103500385165,462323,Small
Delta,EGE,3.249894284102998,3.4813793766304886,153929,Nonhub
Delta,ELP,2.714927793193577,3.185509812275956,1471203,Small
Delta,EVV,3.041566182341924,3.5704173827310783,213257,Nonhub
Delta,EWR,2.0472764974804063,3.1096174697915986,14979573,Large
Delta,EYW,2.8859857023749393,3.027185506934527,392874,Small
Delta,FAR,3.196377872316021,3.179272993272552,402430,Small
Delta,FAY,2.8026051040268123,3.540832674949872,238685,Nonhub
Delta,FCA,3.1129389149257523,2.9907684424845247,272394,Nonhub
Delta,FLL,1.9731641224418643,1.9645507561943554,11909355,Large
Delta,FNT,2.7554530816947844,3.313872306946229,394486,Small
Delta,FSD,2.7632581228173914,3.1432120122236062,543922,Small
Delta,GEG,2.628884600338171,3.012686893032812,1704995,Small
Delta,GNV,3.110554241410559,3.405200075078129,218699,Nonhub
Delta,GPT,2.9762967398609965,3.3227218337543163,325245,Nonhub
Delta,GRB,2.50942727844903,3.2157075117741245,285188,Nonhub
Delta,GRR,2.746729432347216,3.0023630927803837,1424115,Small
Delta,GSO,3.012811709071202,3.123016318389227,887590,Small
Delta,GSP,2.6222260165250906,3.14314130234149,1057036,Small
Delta,GTF,3.037932930404445,3.718352496954445,170755,Nonhub
Delta,HDN,2.6938871789965875,3.0622608793919883,96451,Nonhub
Delta,HOU,2.6462830292388277,3.261254492601663,6287599,Medium
Delta,HPN,3.242479106183406,3.4036581919725797,756143,Small
Delta,HSV,3.137583557585122,3.146146123011792,528366,Small
Delta,IAD,2.6398058212587947,2.8248595880085983,7225049,Large
Delta,IAH,2.534009850048517,3.067058047855141,14408530,Large
Delta,ICT,2.962691154012049,3.14919771611706,808028,Small
Delta,ILM,3.0035776451898784,3.4110206946246215,423692,Small
Delta,IND,2.882447555452766,2.9575880322776396,4375012,Medium
Delta,JAC,2.9405099965243524,3.396862762288495,341593,Nonhub
Delta,JAN,2.5844206709422863,3.2498879180652107,462216,Small
Delta,JAX,2.5604658338851,2.279633038837803,2715992,Medium
Delta,JFK,2.1952035957116327,2.8272075454761603,12837248,Large
Delta,LAS,2.0714190223246276,2.918648135843958,21465771,Large
Delta,LAX,1.5632576553160817,2.027062207302226,27223888,Large
Delta,LEX,3.0896350944933917,3.1971949302230147,638076,Small
Delta,LFT,2.6094620970475693,3.7215387597502465,203065,Nonhub
Delta,LGA,1.6334750457149543,2.236561080006068,13566621,Large
Delta,LIT,2.8858093992136022,3.1238631687648715,990340,Small
Delta,MCI,2.939479849853387,3.1021915071428903,5768376,Medium
Delta,MCO,2.1759213142049707,2.492577002452127,18228163,Large
Delta,MDT,2.789453072005415,3.0239398761804033,580349,Small
Delta,MDW,2.673100209953732,3.31396111198398,10761723,Large
Delta,MEM,2.646027953009221,3.0785814731350043,2126350,Medium
Delta,MHT,3.1442948477963895,3.6110759043665,971779,Small
Delta,MIA,2.351236239437643,2.6134485759509594,9787986,Large
Delta,MKE,2.735747761327751,2.9893560719581287,3421109,Medium
Delta,MLB,2.9966962644017925,3.3433815052119322,222759,Nonhub
Delta,MOB,2.9693915127340915,3.508901201017963,289727,Nonhub
Delta,MSN,2.7909941714095794,3.1656712786536434,949682,Small
Delta,MSO,2.8204073344840306,3.16657403121628,387607,Small
Delta,MSP,2.3673728633852966,2.8158247747601237,16811418,Large
Delta,MSY,2.2778448410863645,2.8753295453474843,6042814,Medium
Delta,MTJ,3.2584147952379743,3.1971527304330754,123531,Nonhub
Delta,MYR,3.055304437649212,3.2530533584562638,1147156,Small
Delta,OAJ,3.218763486588194,3.4188431406023287,154811,Nonhub
Delta,OAK,2.8383709341765417,3.136807499189722,5826529,Medium
Delta,OKC,2.907523243471853,3.322066044191949,1955060,Medium
Delta,OMA,2.731730807196815,2.9115672653102322,2293262,Medium
Delta,ONT,3.17170021310004,3.7242297157923026,2220963,Medium
