airport,x,y
05XS,788920.7139077755,-1284232.4558464994
9AR4,719314.9364885924,-1130145.6458325742
AR74,837980.0034391868,-1040465.774179768
3AR1,657380.3354092309,-925533.1727785717
26AZ,-1216462.3499447203,-1125200.436463979
BXK,-1177984.360127442,-1197285.6224134807
22AZ,-1320695.9275391109,-984126.380075446
IFP,-1320399.2796163463,-979297.1957056248
A20,-1323486.0935933378,-995567.3866483954
1AZ8,-1301288.4482919702,-966685.2900434857
A09,-1330152.97995716,-1007654.5900159411
19AZ,-1085984.9331006238,-1078130.4250308455
01AZ,-1085903.5325105286,-1077802.0845056854
33AZ,-1183233.0556814768,-1041996.7544399066
AZ91,-1102025.1389628153,-1165751.1133920522
18AZ,-1099939.7373605948,-1164276.528993724
AZ52,-1081052.0017914674,-1148626.3905350207
AZ51,-1075585.154737591,-1167671.8842854954
P08,-1068318.3482590686,-1267411.3776907849
37AZ,-1073715.2558419541,-1266726.6821235402
P52,-1099640.0830007065,-1062167.981059845
AZ22,-1099042.6170572273,-1061476.5587001194
AZ86,-1123401.7846726482,-1063754.004719561
AZ00,-1263013.904484564,-1253286.5688853152
DGL,-906948.0323817893,-1464929.3932972285
AZ17,-894321.3443933715,-1448568.0259690285
P03,-924054.7091387161,-1459816.401969857
DUG,-914827.6667452637,-1449993.380401256
E60,-1084897.0161143944,-1279617.1551911065
FLG,-1060798.195086967,-1021662.1117407106
LUF,-1148481.243860709,-1189067.3456819255
P13,-992690.1291053257,-1230668.054692575
AZ56,-1061877.7219662452,-1199234.9121001828
AZ55,-1053434.183873606,-1197111.9705744074
AZ53,-1052125.961490142,-1196386.6796884222
AZ54,-1071485.3950038324,-1198051.0250183346
76AZ,-1146735.1897681328,-1197578.5588871771
GYR,-1149359.5550540572,-1201456.4968741653
GCN,-1092063.1252038742,-926103.6006036957
40G,-1096563.2509364702,-959322.7256837739
14AZ,-1052941.867592604,-1384159.5635031285
68AZ,-1244284.2416273952,-956106.7422222913
6AZ2,-973370.6131821909,-1091880.7007803055
HII,-1312297.6277032185,-1046509.5919630575
AZ80,-1312086.4750621081,-1056690.285318944
71AZ,-1312055.406041751,-1053440.9125300625
AZ90,-1127183.0794917645,-1212897.3000603335
4AZ8,-1069005.0423360767,-1338990.9962814199
MZJ,-1064447.416236457,-1315566.394414965
AZ03,-1045763.4684196983,-844941.8232056308
L41,-1035125.5776924695,-837865.364157753
AZ78,-1146565.411134546,-1248045.0717525566
AZ13,-1146444.8130986062,-1247403.8608310914
AZ31,-1145907.7684742785,-1249753.0528502231
AZ81,-1089345.5645185565,-1203987.363533824
AZ92,-1086100.9218878231,-1211835.7034439615
AZ39,-1089241.0069140804,-1205566.956788787
08AZ,-1099811.5946807908,-1209218.2519969733
69AZ,-1099430.09855352,-1213277.021123671
0AZ4,-1147474.5669704769,-1251143.322111367
5AZ6,-1145719.845852917,-1257812.3080377711
1AZ0,-1143986.3111317423,-1237125.1169733843
0AZ5,-1163874.5075325149,-1149676.622027955
12AZ,-1168613.4700397952,-1150305.2909969536
AZ32,-1162732.2849497728,-1151904.2396150578
AZ28,-1161755.334159644,-1154970.2040210802
OLS,-1033241.6915104999,-1441528.9357082227
AZ35,-1242715.6472937246,-891801.3508051204
7AZ4,-908307.2302588996,-1398452.7132206578
4AZ5,-1133641.8890829026,-1156480.5355792104
AZ07,-1128252.9939555693,-1202344.65570739
AZ20,-1110453.9742831783,-1188109.2857161711
AZ24,-1122730.6446045148,-1193913.6834483158
67AZ,-1119744.2380113816,-1201066.2749172489
5AZ2,-1121667.3454317206,-1207298.7926079754
AR79,799765.7737904025,-1214725.292958634
5AR2,888648.9199527623,-1017436.2352253598
AR87,514135.3042214556,-1045174.8903148427
M27,538997.1177031139,-1105541.2620987187
ARG,815587.484563881,-941923.7177635848
AR20,812356.4571650628,-947884.5651101161
3M9,735746.4968723741,-1235736.0368525558
AR70,737627.5157681175,-1229950.2051903924
8M2,822451.8371439502,-1000839.8968566629
5AR7,832202.0949791117,-989016.6512332542
AR27,555204.24303007,-986230.6005287637
27AZ,-1214678.1168456601,-1135885.6670281233
28AZ,-1215856.842564999,-1135312.4519170714
P01,-1208403.7834489578,-1301398.850176383
E51,-1204656.8397434044,-1061774.4889830991
31AZ,-971268.103044576,-1388332.9553870792
E95,-980089.5923678676,-1383281.0866786041
P04,-942459.7273097585,-1458525.9027600007
6AZ6,-941803.9804030148,-1452624.4145972056
62AZ,-1285179.2713241146,-1131173.3770063804
10AZ,-1172591.2142301782,-1204355.4052103052
CGZ,-1099641.6320478686,-1261009.4292198003
P19,-1108738.1304016518,-1221248.9132060823
AZ87,-1103959.2874651414,-1229893.9840763616
AZ76,-1104845.8124988053,-1221869.9913526513
CHD,-1099480.1516962475,-1225870.979147788
E91,-860448.9863407424,-938636.1750493794
59AZ,-1136566.8586043797,-1055160.2825586097
Z95,-964161.4405311911,-1161599.7500356194
CFT,-862073.5754665968,-1290152.498127228
AZC,-1153351.253402711,-803537.7818808155
AZ23,-1051890.1107119436,-1013560.5424952147
3AZ0,-1057499.7996168188,-1014500.2506127654
FHU,-983595.260156681,-1428658.2984243084
5AZ9,-933323.8829273074,-1273909.4616512603
E63,-1183575.0458184693,-1248287.907062653
GXF,-1188884.383472579,-1255597.100112537
3AZ1,-1100416.8875927331,-1214190.7191171793
