year,airline,airport,type,block,n,airline_airport
1,UA,ORD,dep,1970-01-01T16:21:00Z,335,UA/ ORD
1,UA,ORD,dep,1970-01-01T16:31:00Z,325,UA/ ORD
1,UA,ORD,dep,1970-01-01T16:41:00Z,2760,UA/ ORD
1,UA,ORD,dep,1970-01-01T16:51:00Z,2528,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:01:00Z,3340,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:11:00Z,1664,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:21:00Z,871,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:31:00Z,803,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:41:00Z,1416,UA/ ORD
1,UA,ORD,dep,1970-01-01T17:51:00Z,1360,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:01:00Z,1301,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:11:00Z,1059,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:21:00Z,634,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:31:00Z,667,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:41:00Z,1706,UA/ ORD
1,UA,ORD,dep,1970-01-01T18:51:00Z,2236,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:01:00Z,3092,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:11:00Z,2412,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:21:00Z,1280,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:31:00Z,809,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:41:00Z,1061,UA/ ORD
1,UA,ORD,dep,1970-01-01T19:51:00Z,1593,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:01:00Z,2230,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:11:00Z,2594,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:21:00Z,1387,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:31:00Z,764,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:41:00Z,1630,UA/ ORD
1,UA,ORD,dep,1970-01-01T20:51:00Z,1122,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:01:00Z,772,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:11:00Z,503,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:21:00Z,406,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:31:00Z,329,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:41:00Z,233,UA/ ORD
1,UA,ORD,dep,1970-01-01T21:51:00Z,797,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:01:00Z,1578,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:11:00Z,912,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:21:00Z,393,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:31:00Z,238,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:41:00Z,198,UA/ ORD
1,UA,ORD,dep,1970-01-01T22:51:00Z,105,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:01:00Z,97,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:11:00Z,54,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:21:00Z,52,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:31:00Z,35,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:41:00Z,34,UA/ ORD
1,UA,ORD,dep,1970-01-01T23:51:00Z,21,UA/ ORD
1,UA,SFO,arr,1970-01-01T00:01:00Z,-37,UA/ SFO
1,UA,SFO,arr,1970-01-01T00:11:00Z,-58,UA/ SFO
1,UA,SFO,arr,1970-01-01T00:21:00Z,-113,UA/ SFO
1,UA,SFO,arr,1970-01-01T00:31:00Z,-114,UA/ SFO
1,UA,SFO,arr,1970-01-01T00:41:00Z,-54,UA/ SFO
1,UA,SFO,arr,1970-01-01T00:51:00Z,-35,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:01:00Z,-23,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:11:00Z,-11,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:21:00Z,-9,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:31:00Z,-8,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:41:00Z,-8,UA/ SFO
1,UA,SFO,arr,1970-01-01T01:51:00Z,-3,UA/ SFO
1,UA,SFO,arr,1970-01-01T02:01:00Z,-3,UA/ SFO
1,UA,SFO,arr,1970-01-01T02:11:00Z,-4,UA/ SFO
1,UA,SFO,arr,1970-01-01T02:21:00Z,-1,UA/ SFO
1,UA,SFO,arr,1970-01-01T02:31:00Z,-2,UA/ SFO
1,UA,SFO,arr,1970-01-01T02:41:00Z,-3,UA/ SFO
1,UA,SFO,arr,1970-01-01T03:01:00Z,-1,UA/ SFO
1,UA,SFO,arr,1970-01-01T03:11:00Z,-1,UA/ SFO
1,UA,SFO,arr,1970-01-01T04:01:00Z,-1,UA/ SFO
1,UA,SFO,arr,1970-01-01T04:51:00Z,-3,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:01:00Z,-16,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:11:00Z,-60,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:21:00Z,-105,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:31:00Z,-171,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:41:00Z,-222,UA/ SFO
1,UA,SFO,arr,1970-01-01T05:51:00Z,-209,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:01:00Z,-132,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:11:00Z,-68,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:21:00Z,-21,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:31:00Z,-10,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:41:00Z,-8,UA/ SFO
1,UA,SFO,arr,1970-01-01T06:51:00Z,-158,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:01:00Z,-326,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:11:00Z,-292,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:21:00Z,-367,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:31:00Z,-569,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:41:00Z,-1179,UA/ SFO
1,UA,SFO,arr,1970-01-01T07:51:00Z,-1558,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:01:00Z,-1047,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:11:00Z,-745,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:21:00Z,-672,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:31:00Z,-733,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:41:00Z,-541,UA/ SFO
1,UA,SFO,arr,1970-01-01T08:51:00Z,-528,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:01:00Z,-472,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:11:00Z,-499,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:21:00Z,-641,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:31:00Z,-630,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:41:00Z,-854,UA/ SFO
1,UA,SFO,arr,1970-01-01T09:51:00Z,-1138,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:01:00Z,-1295,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:11:00Z,-1147,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:21:00Z,-989,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:31:00Z,-864,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:41:00Z,-695,UA/ SFO
1,UA,SFO,arr,1970-01-01T10:51:00Z,-733,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:01:00Z,-681,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:11:00Z,-612,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:21:00Z,-582,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:31:00Z,-631,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:41:00Z,-898,UA/ SFO
1,UA,SFO,arr,1970-01-01T11:51:00Z,-940,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:01:00Z,-862,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:11:00Z,-859,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:21:00Z,-986,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:31:00Z,-1228,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:41:00Z,-1028,UA/ SFO
1,UA,SFO,arr,1970-01-01T12:51:00Z,-946,UA/ SFO
1,UA,SFO,arr,1970-01-01T13:01:00Z,-786,UA/ SFO
