origin,yearly_passengers,hub_type
VWK,19,Nonhub
COE,17,Nonhub
MHR,17,Nonhub
F70,16,Nonhub
JZI,16,Nonhub
PUL,16,Nonhub
GUF,15,Nonhub
MOP,15,Nonhub
NAD,15,Nonhub
TIW,15,Nonhub
UBF,15,Nonhub
JEF,14,Nonhub
P1A,14,Nonhub
PNX,14,Nonhub
TTD,14,Nonhub
CTH,13,Nonhub
FMY,13,Nonhub
GFL,13,Nonhub
MO3,13,Nonhub
PCT,13,Nonhub
SEG,13,Nonhub
TMB,13,Nonhub
DUA,12,Nonhub
MTH,12,Nonhub
PGS,12,Nonhub
QQT,12,Nonhub
ROG,12,Nonhub
LPS,11,Nonhub
LWM,11,Nonhub
WI3,11,Nonhub
IKK,10,Nonhub
ISM,10,Nonhub
MSV,10,Nonhub
BWC,9,Nonhub
CNO,9,Nonhub
DMN,9,Nonhub
HAR,9,Nonhub
MFH,9,Nonhub
MPO,9,Nonhub
OLM,9,Nonhub
PRB,9,Nonhub
SBD,9,Nonhub
TVL,9,Nonhub
VA4,9,Nonhub
1B1,8,Nonhub
EFK,8,Nonhub
FDK,8,Nonhub
FTG,8,Nonhub
FTY,8,Nonhub
ID1,8,Nonhub
JRA,8,Nonhub
JZQ,8,Nonhub
OSU,8,Nonhub
PA4,8,Nonhub
SDX,8,Nonhub
CKV,7,Nonhub
IGM,7,Nonhub
IN2,7,Nonhub
IOW,7,Nonhub
JCI,7,Nonhub
KY6,7,Nonhub
LLY,7,Nonhub
ME2,7,Nonhub
OH3,7,Nonhub
ROL,7,Nonhub
VGC,7,Nonhub
ADT,6,Nonhub
AIZ,6,Nonhub
ANP,6,Nonhub
ARB,6,Nonhub
ASH,6,Nonhub
AVW,6,Nonhub
BMC,6,Nonhub
CIC,6,Nonhub
CT1,6,Nonhub
DQN,6,Nonhub
GA2,6,Nonhub
GTY,6,Nonhub
HII,6,Nonhub
HIO,6,Nonhub
LOT,6,Nonhub
MA4,6,Nonhub
MDD,6,Nonhub
ME1,6,Nonhub
NY4,6,Nonhub
NY7,6,Nonhub
ONH,6,Nonhub
PTW,6,Nonhub
SFZ,6,Nonhub
SPF,6,Nonhub
TN6,6,Nonhub
VUO,6,Nonhub
WA1,6,Nonhub
WA3,6,Nonhub
WWD,6,Nonhub
AL3,5,Nonhub
BFT,5,Nonhub
DE3,5,Nonhub
GED,5,Nonhub
GMU,5,Nonhub
JRB,5,Nonhub
MIW,5,Nonhub
MZZ,5,Nonhub
N3C,5,Nonhub
RMG,5,Nonhub
RSJ,5,Nonhub
WVL,5,Nonhub
AIK,4,Nonhub
BJJ,4,Nonhub
CLM,4,Nonhub
CON,4,Nonhub
GA7,4,Nonhub
JGG,4,Nonhub
JZU,4,Nonhub
KY5,4,Nonhub
LA3,4,Nonhub
O6H,4,Nonhub
OCA,4,Nonhub
OFK,4,Nonhub
OTS,4,Nonhub
PA6,4,Nonhub
PTS,4,Nonhub
PUC,4,Nonhub
SLT,4,Nonhub
TOA,4,Nonhub
TX8,4,Nonhub
UES,4,Nonhub
WSX,4,Nonhub
ZXU,4,Nonhub
AMW,3,Nonhub
AYS,3,Nonhub
DHB,3,Nonhub
ECS,3,Nonhub
HIE,3,Nonhub
HLM,3,Nonhub
MHE,3,Nonhub
MHV,3,Nonhub
MKO,3,Nonhub
NY1,3,Nonhub
NY5,3,Nonhub
OPN,3,Nonhub
PPM,3,Nonhub
SBM,3,Nonhub
SFM,3,Nonhub
UT1,3,Nonhub
VA5,3,Nonhub
VIS,3,Nonhub
VWS,3,Nonhub
ZZV,3,Nonhub
CBF,2,Nonhub
FRY,2,Nonhub
GVQ,2,Nonhub
HQM,2,Nonhub
II3,2,Nonhub
ISS,2,Nonhub
JZT,2,Nonhub
LKP,2,Nonhub
LOZ,2,Nonhub
M91,2,Nonhub
MA2,2,Nonhub
MJX,2,Nonhub
MOD,2,Nonhub
MWH,2,Nonhub
O5H,2,Nonhub
OCE,2,Nonhub
OCF,2,Nonhub
OGB,2,Nonhub
OXR,2,Nonhub
POU,2,Nonhub
SEE,2,Nonhub
SOP,2,Nonhub
SVH,2,Nonhub
T2N,2,Nonhub
TKF,2,Nonhub
VA8,2,Nonhub
VUJ,2,Nonhub
AUZ,1,Nonhub
CAD,1,Nonhub
CGF,1,Nonhub
CKM,1,Nonhub
FFT,1,Nonhub
FME,1,Nonhub
LGC,1,Nonhub
MDH,1,Nonhub
MPR,1,Nonhub
N5C,1,Nonhub
PHN,1,Nonhub
SCH,1,Nonhub
SSI,1,Nonhub
SSW,1,Nonhub
VHN,1,Nonhub
WI4,1,Nonhub
ZXB,1,Nonhub
AAF,0,Nonhub
AID,0,Nonhub
AKC,0,Nonhub
AOH,0,Nonhub
ARA,0,Nonhub
ASN,0,Nonhub
AZ6,0,Nonhub
BIH,0,Nonhub
BLF,0,Nonhub
BOK,0,Nonhub
BTL,0,Nonhub
BWD,0,Nonhub
BYH,0,Nonhub
CLU,0,Nonhub
COF,0,Nonhub
COM,0,Nonhub
CSV,0,Nonhub
CVO,0,Nonhub
DAG,0,Nonhub
DCU,0,Nonhub
DQP,0,Nonhub
DTO,0,Nonhub
EKA,0,Nonhub
EKX,0,Nonhub
ELN,0,Nonhub
FET,0,Nonhub
GA0,0,Nonhub
GA3,0,Nonhub
GAD,0,Nonhub
GDC,0,Nonhub
GEY,0,Nonhub
GLR,0,Nonhub
GPM,0,Nonhub
GUP,0,Nonhub
GWO,0,Nonhub
HKS,0,Nonhub
HLI,0,Nonhub
HMN,0,Nonhub
HWD,0,Nonhub
IAB,0,Nonhub
ILN,0,Nonhub
ISO,0,Nonhub
LGD,0,Nonhub
LKV,0,Nonhub
LNR,0,Nonhub
LPR,0,Nonhub
LZU,0,Nonhub
MDJ,0,Nonhub
MEO,0,Nonhub
MEV,0,Nonhub
MGE,0,Nonhub
MI2,0,Nonhub
MNN,0,Nonhub
MRB,0,Nonhub
MRC,0,Nonhub
MVW,0,Nonhub
MZJ,0,Nonhub
N4C,0,Nonhub
NUQ,0,Nonhub
NUW,0,Nonhub
NZC,0,Nonhub
O85,0,Nonhub
OGA,0,Nonhub
OKK,0,Nonhub
ONP,0,Nonhub
OR2,0,Nonhub
OSC,0,Nonhub
PAM,0,Nonhub
PWA,0,Nonhub
QQU,0,Nonhub
QQY,0,Nonhub
RBG,0,Nonhub
RID,0,Nonhub
RQZ,0,Nonhub
RRT,0,Nonhub
RUI,0,Nonhub
RWI,0,Nonhub
SEF,0,Nonhub
SKF,0,Nonhub
SKY,0,Nonhub
SNY,0,Nonhub
SQA,0,Nonhub
SQI,0,Nonhub
SSC,0,Nonhub
SUU,0,Nonhub
SYI,0,Nonhub
SZL,0,Nonhub
T9X,0,Nonhub
TDF,0,Nonhub
TIX,0,Nonhub
TN2,0,Nonhub
TSP,0,Nonhub
TVI,0,Nonhub
TX4,0,Nonhub
UKI,0,Nonhub
UXK,0,Nonhub
UXP,0,Nonhub
VAD,0,Nonhub
VQQ,0,Nonhub
VWD,0,Nonhub
VWE,0,Nonhub
WA6,0,Nonhub
WA7,0,Nonhub
WRI,0,Nonhub
XXN,0,Nonhub
XXP,0,Nonhub
