airline,airport,type,block,n,airline_airport,year
AA,ORD,dep,1970-01-01T07:31:00Z,223,AA/ ORD,1995
AA,ORD,dep,1970-01-01T07:41:00Z,275,AA/ ORD,1995
AA,ORD,dep,1970-01-01T07:51:00Z,611,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:01:00Z,173,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:11:00Z,145,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:21:00Z,378,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:31:00Z,354,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:41:00Z,3350,AA/ ORD,1995
AA,ORD,dep,1970-01-01T08:51:00Z,4935,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:01:00Z,2011,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:11:00Z,918,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:21:00Z,238,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:31:00Z,116,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:41:00Z,81,AA/ ORD,1995
AA,ORD,dep,1970-01-01T09:51:00Z,611,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:01:00Z,1543,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:11:00Z,4070,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:21:00Z,1481,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:31:00Z,371,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:41:00Z,143,AA/ ORD,1995
AA,ORD,dep,1970-01-01T10:51:00Z,748,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:01:00Z,250,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:11:00Z,159,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:21:00Z,331,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:31:00Z,1836,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:41:00Z,3468,AA/ ORD,1995
AA,ORD,dep,1970-01-01T11:51:00Z,3246,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:01:00Z,757,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:11:00Z,398,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:21:00Z,182,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:31:00Z,153,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:41:00Z,278,AA/ ORD,1995
AA,ORD,dep,1970-01-01T12:51:00Z,616,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:01:00Z,750,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:11:00Z,3014,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:21:00Z,3217,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:31:00Z,913,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:41:00Z,555,AA/ ORD,1995
AA,ORD,dep,1970-01-01T13:51:00Z,695,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:01:00Z,397,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:11:00Z,227,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:21:00Z,178,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:31:00Z,201,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:41:00Z,2647,AA/ ORD,1995
AA,ORD,dep,1970-01-01T14:51:00Z,4137,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:01:00Z,1906,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:11:00Z,729,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:21:00Z,510,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:31:00Z,374,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:41:00Z,291,AA/ ORD,1995
AA,ORD,dep,1970-01-01T15:51:00Z,514,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:01:00Z,487,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:11:00Z,2588,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:21:00Z,2762,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:31:00Z,1459,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:41:00Z,687,AA/ ORD,1995
AA,ORD,dep,1970-01-01T16:51:00Z,844,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:01:00Z,553,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:11:00Z,431,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:21:00Z,2043,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:31:00Z,1086,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:41:00Z,494,AA/ ORD,1995
AA,ORD,dep,1970-01-01T17:51:00Z,711,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:01:00Z,536,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:11:00Z,1628,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:21:00Z,3178,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:31:00Z,1871,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:41:00Z,1705,AA/ ORD,1995
AA,ORD,dep,1970-01-01T18:51:00Z,1076,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:01:00Z,702,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:11:00Z,802,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:21:00Z,546,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:31:00Z,348,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:41:00Z,257,AA/ ORD,1995
AA,ORD,dep,1970-01-01T19:51:00Z,295,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:01:00Z,307,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:11:00Z,2521,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:21:00Z,3349,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:31:00Z,1687,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:41:00Z,1003,AA/ ORD,1995
AA,ORD,dep,1970-01-01T20:51:00Z,529,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:01:00Z,423,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:11:00Z,333,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:21:00Z,252,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:31:00Z,767,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:41:00Z,1967,AA/ ORD,1995
AA,ORD,dep,1970-01-01T21:51:00Z,1197,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:01:00Z,429,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:11:00Z,258,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:21:00Z,227,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:31:00Z,167,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:41:00Z,119,AA/ ORD,1995
AA,ORD,dep,1970-01-01T22:51:00Z,139,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:01:00Z,102,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:11:00Z,95,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:21:00Z,58,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:31:00Z,44,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:41:00Z,41,AA/ ORD,1995
AA,ORD,dep,1970-01-01T23:51:00Z,33,AA/ ORD,1995
UA,ORD,arr,1970-01-01T00:01:00Z,-121,UA/ ORD,1995
UA,ORD,arr,1970-01-01T00:11:00Z,-135,UA/ ORD,1995
UA,ORD,arr,1970-01-01T00:21:00Z,-147,UA/ ORD,1995
UA,ORD,arr,1970-01-01T00:31:00Z,-160,UA/ ORD,1995
UA,ORD,arr,1970-01-01T00:41:00Z,-110,UA/ ORD,1995
UA,ORD,arr,1970-01-01T00:51:00Z,-47,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:01:00Z,-30,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:11:00Z,-20,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:21:00Z,-15,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:31:00Z,-4,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:41:00Z,-6,UA/ ORD,1995
UA,ORD,arr,1970-01-01T01:51:00Z,-5,UA/ ORD,1995
UA,ORD,arr,1970-01-01T02:01:00Z,-7,UA/ ORD,1995
UA,ORD,arr,1970-01-01T02:11:00Z,-2,UA/ ORD,1995
UA,ORD,arr,1970-01-01T02:21:00Z,-3,UA/ ORD,1995
UA,ORD,arr,1970-01-01T02:31:00Z,-2,UA/ ORD,1995
UA,ORD,arr,1970-01-01T02:51:00Z,-2,UA/ ORD,1995
UA,ORD,arr,1970-01-01T03:11:00Z,-1,UA/ ORD,1995
UA,ORD,arr,1970-01-01T03:21:00Z,-1,UA/ ORD,1995
UA,ORD,arr,1970-01-01T03:31:00Z,-5,UA/ ORD,1995
UA,ORD,arr,1970-01-01T03:41:00Z,-2,UA/ ORD,1995
