reporting_airline,id,type,airport,x,y
Southwest Airlines,88,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,89,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,89,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,90,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,90,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,91,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,91,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,92,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,92,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,93,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,93,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,94,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,94,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,95,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,95,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,96,origin,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,96,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,97,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,97,dest,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,98,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,98,dest,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,99,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,99,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,100,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,100,dest,CHS,1853007.6958618572,-1124845.6869020823
Southwest Airlines,101,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,101,dest,CLE,1498726.2792607923,-232627.15593650908
Southwest Airlines,102,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,102,dest,CLT,1718765.594159813,-891788.5105128315
Southwest Airlines,103,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,103,dest,CMH,1445821.7184349983,-405735.9494879742
Southwest Airlines,104,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,104,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,105,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,105,dest,DCA,1959959.090984065,-409479.41835946374
Southwest Airlines,106,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,106,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,107,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,107,dest,DTW,1359641.697254995,-170996.60408534826
Southwest Airlines,108,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,108,dest,ECP,1366547.510727577,-1511044.3472759733
Southwest Airlines,109,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,109,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,110,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,110,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,111,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,111,dest,JAX,1752547.7524868262,-1421732.3716896002
Southwest Airlines,112,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,112,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,113,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,113,dest,LAX,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,114,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,114,dest,LGA,2155684.513057,-122316.28523641168
Southwest Airlines,115,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,115,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,116,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,116,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,117,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,117,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,118,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,118,dest,MSP,533284.8020873081,9198.64416372486
Southwest Airlines,119,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,119,dest,MSY,943779.1568939897,-1610813.662288556
Southwest Airlines,120,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,120,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,121,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,121,dest,PHL,2075929.4181951769,-255080.32292677445
Southwest Airlines,122,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,122,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,123,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,123,dest,PIT,1653058.7188770992,-301571.10045485134
Southwest Airlines,124,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,124,dest,PNS,1232374.963107157,-1519383.0474165194
Southwest Airlines,125,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,125,dest,RDU,1892329.2704660424,-772779.4700067013
Southwest Airlines,126,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,126,dest,SAN,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,127,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,127,dest,SAT,149495.41162521293,-1713236.8214802423
Southwest Airlines,128,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,128,dest,STL,834066.6669227502,-646449.0468188728
Southwest Airlines,129,origin,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,129,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,130,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,130,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,131,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,131,dest,GEG,-1301359.421680582,434754.4516689109
Southwest Airlines,132,origin,BOI,-1296364.617988922,-29797.04410178459
Southwest Airlines,132,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,133,origin,BOI,-1296364.617988922,-29797.04410178459
