year,airline,airport,type,block,n,airline_airport
1,AA,DFW,arr,1970-01-01T09:51:00Z,-3948,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:01:00Z,-4345,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:11:00Z,-2994,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:21:00Z,-1232,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:31:00Z,-705,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:41:00Z,-689,AA/ DFW
1,AA,DFW,arr,1970-01-01T10:51:00Z,-941,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:01:00Z,-820,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:11:00Z,-796,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:21:00Z,-1079,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:31:00Z,-1936,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:41:00Z,-3360,AA/ DFW
1,AA,DFW,arr,1970-01-01T11:51:00Z,-3633,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:01:00Z,-2933,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:11:00Z,-1960,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:21:00Z,-1117,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:31:00Z,-791,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:41:00Z,-1080,AA/ DFW
1,AA,DFW,arr,1970-01-01T12:51:00Z,-771,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:01:00Z,-1307,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:11:00Z,-2650,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:21:00Z,-3699,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:31:00Z,-3880,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:41:00Z,-2310,AA/ DFW
1,AA,DFW,arr,1970-01-01T13:51:00Z,-858,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:01:00Z,-642,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:11:00Z,-609,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:21:00Z,-823,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:31:00Z,-1666,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:41:00Z,-2788,AA/ DFW
1,AA,DFW,arr,1970-01-01T14:51:00Z,-3093,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:01:00Z,-3185,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:11:00Z,-2329,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:21:00Z,-1061,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:31:00Z,-584,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:41:00Z,-570,AA/ DFW
1,AA,DFW,arr,1970-01-01T15:51:00Z,-960,AA/ DFW
1,AA,DFW,arr,1970-01-01T16:01:00Z,-2230,AA/ DFW
1,AA,DFW,arr,1970-01-01T16:11:00Z,-3618,AA/ DFW
1,AA,DFW,arr,1970-01-01T16:21:00Z,-3382,AA/ DFW
