"airline","airport","arr","dep","yearly_passengers","hub_type"
"AA","KOA",1.95842041593727,2.24786251844536,1681142,"Small"
"AA","LAS",1.04291231832569,1.12195378136593,21754529,"Large"
"AA","LAX",0.759223131925018,1.1378845208732,29409829,"Large"
"AA","LBB",2.9133005766785,2.88619319478481,464052,"Small"
"AA","LGA",0.72823060656505,0.976072928587848,13589163,"Large"
"AA","LIH",1.78726722222139,2.15368197290767,1502050,"Small"
"AA","MCI",1.61930105218677,1.86074511426868,5775386,"Medium"
"AA","MCO",1.05370045806981,1.18778583187202,19022844,"Large"
"AA","MDT",2.52295305980848,2.88009478985406,576917,"Small"
"AA","MEM",1.83184212899121,2.2703899821527,2122447,"Medium"
"AA","MFE",2.34117910909392,2.74451237204882,322756,"Nonhub"
"AA","MHT",3.08381632458705,3.1564141074325,971670,"Small"
"AA","MIA",0.994045502416466,1.26256521980493,10371722,"Large"
"AA","MKE",2.13775156076695,2.53681661070997,3417379,"Medium"
"AA","MSP",1.07742830695529,1.37153777309846,17046950,"Large"
"AA","MSY",1.31841610017287,1.74332125264456,6031426,"Medium"
"AA","MTJ",2.9315243638532,2.73139110972247,122094,"Nonhub"
"AA","MYR",2.74571319196311,2.94686884972408,1144900,"Small"
"AA","OAK",2.67444998192418,2.66137934243093,6199519,"Medium"
"AA","OGG",1.58769919669274,1.89816288694204,3264579,"Medium"
"AA","OKC",2.10395138916948,2.32183013759266,1956400,"Medium"
"AA","OMA",2.22024167677964,2.735962110124,2295573,"Medium"
"AA","ONT",2.0453277564646,2.50028861116565,2232571,"Medium"
"AA","ORD",0.892000165878301,1.20187205410824,32397952,"Large"
"AA","ORF",2.07233368344373,2.46451287451082,1715525,"Small"
"AA","PBI",1.55278432531611,1.83572698633856,3038458,"Medium"
"AA","PDX",1.67680559099786,1.49682677560054,9091341,"Large"
"AA","PHL",1.11463556450516,1.52915478157418,12609106,"Large"
"AA","PHX",1.01174801166596,1.19600819152281,20580907,"Large"
"AA","PIT",1.61529637206845,1.74199376449699,4245874,"Medium"
"AA","PNS",2.42112231766553,2.75924306896765,850198,"Small"
"AA","PSP",2.36374428018964,2.7723268551058,869822,"Small"
"AA","PVD",1.67662817563551,2.38571246311802,1883749,"Medium"
"AA","PWM",2.18970463854362,2.74683042833169,924703,"Small"
"AA","RDU",1.39971935492476,1.55314560532048,5556987,"Medium"
"AA","RIC",2.00314910270513,2.00661294225221,1819633,"Small"
"AA","RNO",2.09776194271538,2.39833870774992,1944629,"Medium"
"AA","ROC",2.65619071543518,2.4922069665066,1200895,"Small"
"AA","RSW",1.56036481452658,1.69671365281446,4170956,"Medium"
"AA","SAN",1.17487088598551,1.78193727142752,10783376,"Large"
"AA","SAT",1.42897394821743,1.78426503949275,4315831,"Medium"
"AA","SAV",2.64656003002582,2.45982027992896,1196245,"Small"
"AA","SBA",2.58393770675045,2.73290754264983,350631,"Nonhub"
"AA","SDF",2.84256481240976,3.12329712908335,1714412,"Small"
"AA","SEA",1.15245395284679,1.41261863144102,20273105,"Large"
"AA","SFO",0.862993810961796,1.27124300446913,20565622,"Large"
"AA","SJC",1.74478438437675,2.31644403357583,5841651,"Medium"
"AA","SJU",1.19027011404728,1.4086497129421,3484584,"Medium"
"AA","SLC",1.79871510182575,2.03007593572228,11192766,"Large"
"AA","SMF",1.53884233791903,1.95118107827704,5343834,"Medium"
"AA","SNA",1.32973603460198,1.93374919259527,5029430,"Medium"
"AA","STL",1.14633530894121,1.93651373282737,7341336,"Medium"
"AA","STT",1.69014112021135,1.84138363067798,595722,"Small"
"AA","STX",2.43350808661254,2.40779595972581,187990,"Nonhub"
"AA","SYR",2.64289628928327,2.84824383445523,1009548,"Small"
"AA","TPA",1.25423713910268,1.50099077910986,9198974,"Large"
"AA","TUL",1.8835016623064,1.83941763339742,1407521,"Small"
"AA","TUS",1.47288044004487,1.70457965389975,1677366,"Small"
"AA","VPS",2.7399923302217,2.827043746604,568036,"Small"
"AA","XNA",1.9179986751743,2.34664314912579,698464,"Small"
